37,Jared Goff,10,14,3245,19,87,0,0,0,0,13.89,2021,27,DET,14,14,332,494,162,67.2,3245,19,8,1,3.8,1.6,91.5,35,280,6.62,6.6,6.61,5.64,9.8,231.8,3,10,1,2,2,194.5,194.50,13.89,13.89,17,87,5.1,0,6.2,0,0,0,,0,0.0,,,10,0,0,0,,0,0,,0,0,0,QB
38,Najee Harris,10,17,0,0,1200,7,467,3,0,13.34,2021,23,PIT,17,17,0,0,0,,0,0,0,,,,,0,0,,,,,,0.0,,,,,,226.7,300.70,13.34,17.69,307,1200,3.9,7,70.6,94,74,467,6.3,3,27.5,78.7,5.0,10,10,0,0,,0,0,,0,0,60,RB
39,Tee Higgins,10,14,0,0,0,0,1091,6,0,10.36,2021,22,CIN,14,14,0,0,0,,0,0,0,,,,,0,0,,,,,,0.0,,,,,,145.1,219.10,10.36,15.65,0,0,,0,0.0,110,74,1091,14.7,6,77.9,67.3,9.9,10,6,0,0,,0,0,,1,0,38,WR
40,Christian Kirk,10,11,33,0,11,0,982,5,0,7.68,2021,25,ARI,17,11,1,1,0,100.0,33,0,0,,0.0,0.0,118.7,0,0,0.00,33.0,33.00,33.00,33.0,1.9,,,,,,130.6,207.62,7.68,12.21,1,11,11.0,0,0.6,103,77,982,12.8,5,57.8,74.8,9.5,10,5,0,0,,0,0,,0,0,30,WR
41,CeeDee Lamb,10,13,0,0,76,0,1102,6,0,9.61,2021,22,DAL,16,13,0,0,0,,0,0,0,,,,,0,0,,,,,,0.0,,,,,,153.8,232.80,9.61,14.55,9,76,8.4,0,4.8,120,79,1102,13.9,6,68.9,65.8,9.2,10,6,0,0,,0,0,,0,0,36,WR
42,Baker Mayfield,10,14,3010,17,134,1,11,0,0,12.92,2021,26,CLE,14,14,253,418,165,60.5,3010,17,13,,4.1,3.1,83.1,43,269,9.33,7.2,6.61,5.41,11.9,215.0,6,8,0,,,180.9,180.90,12.92,12.92,37,134,3.6,1,9.6,0,0,11,,0,0.8,,,10,1,0,0,,0,0,,0,0,6,QB
43,Joe Mixon,10,16,0,0,1205,13,314,3,0,15.37,2021,25,CIN,16,16,0,0,0,,0,0,0,,,,,0,0,,,,,,0.0,,,,,,245.9,287.90,15.37,17.99,292,1205,4.1,13,75.3,48,42,314,7.5,3,19.6,87.5,6.5,10,16,0,0,,0,0,,0,0,96,RB
44,Matt Ryan,10,17,3968,20,82,1,0,0,0,13.11,2021,36,ATL,17,17,375,560,185,67.0,3968,20,12,2,3.6,2.1,90.4,40,274,6.67,7.1,6.84,5.92,10.6,233.4,7,10,0,3,4,222.9,222.92,13.11,13.11,40,82,2.1,1,4.8,0,0,0,,0,0.0,,,10,1,0,0,,0,0,,1,0,8,QB
45,DeVonta Smith,10,16,0,0,0,0,916,5,0,7.15,2021,23,PHI,17,16,0,0,0,,0,0,0,,,,,0,0,,,,,,0.0,,,,,,121.6,185.60,7.15,10.92,0,0,,0,0.0,104,64,916,14.3,5,53.9,61.5,8.8,10,5,0,0,,0,0,,1,0,32,WR
46,Kendrick Bourne,9,5,25,1,125,0,800,5,0,7.38,2021,26,NWE,17,5,1,1,0,100.0,25,1,0,,100.0,0.0,158.3,0,0,0.00,25.0,45.00,45.00,25.0,1.5,,,,,,125.5,180.50,7.38,10.62,12,125,10.4,0,7.4,70,55,800,14.5,5,47.1,78.6,11.4,9,5,0,0,,0,0,,0,0,30,WR
47,Dalvin Cook,9,13,0,0,1159,6,224,0,0,13.25,2021,26,MIN,13,13,0,0,0,,0,0,0,,,,,0,0,,,,,,0.0,,,,,,172.3,206.30,13.25,15.87,249,1159,4.7,6,89.2,49,34,224,6.6,0,17.2,69.4,4.6,9,6,0,0,,0,0,,1,0,38,RB
48,AJ Dillon,9,2,0,0,803,5,313,2,0,8.92,2021,23,GNB,17,2,0,0,0,,0,0,0,,,,,0,0,,,,,,0.0,,,,,,151.6,185.60,8.92,10.92,187,803,4.3,5,47.2,37,34,313,9.2,2,18.4,91.9,8.5,9,7,0,0,,0,0,,0,0,42,RB
49,Mike Evans,9,16,0,0,10,0,1035,14,0,11.78,2021,28,TAM,16,16,0,0,0,,0,0,0,,,,,0,0,,,,,,0.0,,,,,,188.5,262.50,11.78,16.41,1,10,10.0,0,0.6,114,74,1035,14.0,14,64.7,64.9,9.1,9,14,0,0,,0,0,,0,0,84,WR
50,Leonard Fournette,9,13,0,0,812,8,454,2,0,13.33,2021,26,TAM,14,13,0,1,1,0.0,0,0,0,,0.0,0.0,39.6,0,0,0.00,0.0,0.00,0.00,,0.0,,,,,,186.6,255.60,13.33,18.26,180,812,4.5,8,58.0,84,69,454,6.6,2,32.4,82.1,5.4,9,10,0,0,,0,0,,0,0,60,RB
51,Dallas Goedert,9,14,0,0,0,0,830,4,0,7.27,2021,27,PHI,15,14,0,0,0,,0,0,0,,,,,0,0,,,,,,0.0,,,,,,109.0,165.00,7.27,11.00,0,0,,0,0.0,76,56,830,14.8,4,55.3,73.7,10.9,9,4,0,0,,0,0,,1,0,26,TE
52,Diontae Johnson,9,14,0,0,53,0,1161,8,0,10.46,2021,25,PIT,16,14,0,0,0,,0,0,0,,,,,0,0,,,,,,0.0,,,,,,167.4,274.40,10.46,17.15,5,53,10.6,0,3.3,169,107,1161,10.9,8,72.6,63.3,6.9,9,8,0,0,,0,0,,1,0,50,WR
53,Aaron Jones,9,15,0,0,799,4,391,6,0,11.80,2021,27,GNB,15,15,0,0,0,,0,0,0,,,,,0,0,,,,,,0.0,,,,,,177.0,229.00,11.80,15.27,171,799,4.7,4,53.3,65,52,391,7.5,6,26.1,80.0,6.0,9,10,0,0,,0,0,,0,0,60,RB
54,Terry McLaurin,9,17,0,0,12,0,1053,5,0,8.03,2021,26,WAS,17,17,0,0,0,,0,0,0,,,,,0,0,,,,,,0.0,,,,,,136.5,213.50,8.03,12.56,1,12,12.0,0,0.7,130,77,1053,13.7,5,61.9,59.2,8.1,9,5,0,0,,0,0,,0,0,30,WR
55,D.K. Metcalf,9,17,0,0,6,0,967,12,0,9.96,2021,24,SEA,17,17,0,0,0,,0,0,0,,,,,0,0,,,,,,0.0,,,,,,169.3,244.30,9.96,14.37,1,6,6.0,0,0.4,129,75,967,12.9,12,56.9,58.1,7.5,9,12,0,0,,0,0,,0,0,72,WR
56,Jakobi Meyers,9,16,45,0,9,0,866,2,0,6.08,2021,25,NWE,17,16,2,2,0,100.0,45,0,0,,0.0,0.0,118.7,0,0,0.00,22.5,22.50,22.50,22.5,2.6,,,,,,103.3,186.30,6.08,10.96,1,9,9.0,0,0.5,126,83,866,10.4,2,50.9,65.9,6.9,9,2,0,0,,0,0,,2,0,16,WR
